Field=#~Integer~#~50|Field=Description~String~Description~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer Lifecycle 1~String~Manufacturer Lifecycle 1~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Currency 1~String~Supplier Currency 1~100|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Stock 1~Integer~Supplier Stock 1~100|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~100|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~LoRA_Transmitter.PrjPCB|ReportField=ProjectFullPath~E:\Projects\LoRA_Transimtter_Receiver\LoRATransmitter\LoRA_Transmitter.PrjPCB|ReportField=Title~Bill of Materials For Project [LoRA_Transmitter.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~10:22:52 AM|ReportField=ReportDate~3/22/2021|ReportField=ReportDateTime~3/22/2021 10:22:52 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~44|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~3/22/2021|ReportField=CurrentTime~10:20:32 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~E:\Projects\LoRA_Transimtter_Receiver\LoRATransmitter\tr_auxiliary.SchDoc|ReportField=DocumentName~tr_auxiliary.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~3/21/2021|ReportField=Organization~|ReportField=ProjectName~LoRA_Transmitter.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~LoRA_Transmitter.PrjPCB|ReportField=DataSourceFullPath~E:\Projects\LoRA_Transimtter_Receiver\LoRATransmitter\LoRA_Transmitter.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
11|Inductor COILCRAFT         MSS1210-333MEB             Surface Mount Power Inductor, MSS1210 Series, 1 mH, 1 A, 980 mA, Shielded, 1.03 ohm|MSS1210-333MEB|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DCoilcraft%26mpn%3DMSS1210-105KED%26seller%3DMouser%26sku%3D994-MSS1210-105KED%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Coilcraft{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DCoilcraft%26mpn%3DMSS1210-105KED%26seller%3DMouser%26sku%3D994-MSS1210-105KED%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}MSS1210-105KED{URL.TIP}Manufacturer|Mouser|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DCoilcraft%26mpn%3DMSS1210-105KED%26seller%3DMouser%26sku%3D994-MSS1210-105KED%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}994-MSS1210-105KED{URL.TIP}Supplier|7|2.26|2.26
12|Conn Shrouded Header (4 Sides) HDR 2 POS 2.5mm Solder ST Thru-Hole Box|B2B-XH-A(LF)(SN)|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DJST%26mpn%3DB2B-XH-A%2528LF%2529%2528SN%2529%26seller%3DDigi-Key%26sku%3D455-2247-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}JST{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DJST%26mpn%3DB2B-XH-A%2528LF%2529%2528SN%2529%26seller%3DDigi-Key%26sku%3D455-2247-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}B2B-XH-A(LF)(SN){URL.TIP}Manufacturer|Digi-Key|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DJST%26mpn%3DB2B-XH-A%2528LF%2529%2528SN%2529%26seller%3DDigi-Key%26sku%3D455-2247-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}455-2247-ND{URL.TIP}Supplier|74215|0.15|0.15
13|Conn Socket Strip F 4 POS 2.54mm Solder ST Thru-Hole C-Grid® Tube|0901471104|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMolex%26mpn%3D90147-1104%26seller%3DDigi-Key%26sku%3DWM14831-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Molex{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMolex%26mpn%3D90147-1104%26seller%3DDigi-Key%26sku%3DWM14831-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}90147-1104{URL.TIP}Manufacturer|Digi-Key|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMolex%26mpn%3D90147-1104%26seller%3DDigi-Key%26sku%3DWM14831-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}WM14831-ND{URL.TIP}Supplier|23119|1.53|1.53
14|Transistor, NPN, 60 V, 1 A, AEC-Q101, SOT-23|DNBT8105-7, Diodes Inc.|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DDiodes%2520Zetex%26mpn%3DDNBT8105-7%26seller%3DMouser%26sku%3D621-DNBT8105-7%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Diodes%20Zetex{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DDiodes%2520Zetex%26mpn%3DDNBT8105-7%26seller%3DMouser%26sku%3D621-DNBT8105-7%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}DNBT8105-7{URL.TIP}Manufacturer|Mouser|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DDiodes%2520Zetex%26mpn%3DDNBT8105-7%26seller%3DMouser%26sku%3D621-DNBT8105-7%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}621-DNBT8105-7{URL.TIP}Supplier|45244|0.33|0.33
15|RES SMD 22 OHM 1% 1/8W 0805|RC0805FR-0722RL|5|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC0805FR-0722RL%26seller%3DDigi-Key%26sku%3D311-22.0CRCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Yageo{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC0805FR-0722RL%26seller%3DDigi-Key%26sku%3D311-22.0CRCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}RC0805FR-0722RL{URL.TIP}Manufacturer|Digi-Key|USD|5|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC0805FR-0722RL%26seller%3DDigi-Key%26sku%3D311-22.0CRCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}311-22.0CRCT-ND{URL.TIP}Supplier|155|0.5|0.1
16|RES, 10 k, 5%, 0.1 W, 0603|CRCW060310K0JNEA|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DCRCW060310K0JNEA%26seller%3DDigi-Key%26sku%3D541-10KGCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay%20Dale{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DCRCW060310K0JNEA%26seller%3DDigi-Key%26sku%3D541-10KGCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CRCW060310K0JNEA{URL.TIP}Manufacturer|Digi-Key|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DCRCW060310K0JNEA%26seller%3DDigi-Key%26sku%3D541-10KGCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}541-10KGCT-ND{URL.TIP}Supplier|7047|0.1|0.1
17|RES, 510 k, 5%, 0.125 W, 0805|CRCW0805510KJNEA|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DCRCW0805510KJNEA%26seller%3DDigi-Key%26sku%3D541-510KACT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay%20Dale{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DCRCW0805510KJNEA%26seller%3DDigi-Key%26sku%3D541-510KACT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CRCW0805510KJNEA{URL.TIP}Manufacturer|Digi-Key|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DCRCW0805510KJNEA%26seller%3DDigi-Key%26sku%3D541-510KACT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}541-510KACT-ND{URL.TIP}Supplier|1842|0.1|0.1
18|SWITCH TACTILE SPST-NO 0.05A 12V|B3U-1000P|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DOmron%26mpn%3DB3U-1000P%26seller%3DMouser%26sku%3D653-B3U-1000P%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Omron{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DOmron%26mpn%3DB3U-1000P%26seller%3DMouser%26sku%3D653-B3U-1000P%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}B3U-1000P{URL.TIP}Manufacturer|Mouser|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DOmron%26mpn%3DB3U-1000P%26seller%3DMouser%26sku%3D653-B3U-1000P%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}653-B3U-1000P{URL.TIP}Supplier|0|0.92|0.92
19|Header, 2.54 mm, 3x1, Gold, TH|61300311121|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300311121%26seller%3DDigi-Key%26sku%3D732-5316-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300311121%26seller%3DDigi-Key%26sku%3D732-5316-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}61300311121{URL.TIP}Manufacturer|Digi-Key|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300311121%26seller%3DDigi-Key%26sku%3D732-5316-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}732-5316-ND{URL.TIP}Supplier|85128|0.12|0.12
20|LoRA module|RA-02|1|{URL}{URL.TEXT}{URL.TIP}Component||{URL}{URL.TEXT}{URL.TIP}Manufacturer||||{URL}{URL.TEXT}{URL.TIP}Supplier|||
